2026-01-28 06:12:59 | main | INFO | Agent başlatılıyor...
2026-01-28 06:12:59 | agent | INFO | Agent başlatılıyor...
2026-01-28 06:13:00 | llm_client | INFO | Model mistral hazır
2026-01-28 06:13:00 | agent | INFO | Agent hazır (LLM-powered)
2026-01-28 06:13:00 | main | INFO | Telegram uygulaması oluşturuluyor...
2026-01-28 06:13:00 | telegram | INFO | Handler'lar kaydedildi
2026-01-28 06:13:00 | main | INFO | ========================================
2026-01-28 06:13:00 | main | INFO | 🤖 Bot başlatıldı!
2026-01-28 06:13:00 | main | INFO | ========================================
2026-01-28 06:13:00 | telegram.ext.Application | INFO | Application started
2026-01-28 06:15:17 | telegram | INFO | [8433815573] Osman Emre: Merhaba nasılsın...
2026-01-28 06:15:17 | agent | INFO | İşleniyor: Merhaba nasılsın...
2026-01-28 06:15:17 | llm_client | INFO | LLM'e gönderiliyor: Merhaba nasılsın...
2026-01-28 06:15:36 | llm_client | INFO | LLM yanıtı (250 karakter)
2026-01-28 06:15:36 | llm_client | INFO | LLM düşüncesi: Kullanıcı selamlaşıyor, tool gerekmiyor...
2026-01-28 06:15:56 | telegram | INFO | [8433815573] Osman Emre: Ne yapıyorsun...
2026-01-28 06:15:57 | agent | INFO | İşleniyor: Ne yapıyorsun...
2026-01-28 06:15:57 | llm_client | INFO | LLM'e gönderiliyor: Ne yapıyorsun...
2026-01-28 06:16:05 | llm_client | INFO | LLM yanıtı (296 karakter)
2026-01-28 06:16:05 | llm_client | INFO | LLM düşüncesi: Kullanıcı ne işe başlıyor olup olmadığını sormaktadır...
2026-01-28 06:16:25 | telegram | INFO | [8433815573] Osman Emre: PhotoBooth aç...
2026-01-28 06:16:25 | agent | INFO | İşleniyor: PhotoBooth aç...
2026-01-28 06:16:25 | llm_client | INFO | LLM'e gönderiliyor: PhotoBooth aç...
2026-01-28 06:16:30 | llm_client | INFO | LLM yanıtı (166 karakter)
2026-01-28 06:16:30 | llm_client | INFO | LLM düşüncesi: Kullanıcı PhotoBooth uygulamasını açmak istiyor...
2026-01-28 06:16:30 | agent | INFO | Tool çalıştırılıyor: open_app - Params: {'app_name': 'PhotoBooth'}
2026-01-28 06:16:30 | task_executor | INFO | Executing tool with params: {'app_name': 'PhotoBooth'}
2026-01-28 06:16:34 | telegram | INFO | [8433815573] Osman Emre: Safari aç...
2026-01-28 06:16:34 | agent | INFO | İşleniyor: Safari aç...
2026-01-28 06:16:34 | llm_client | INFO | LLM'e gönderiliyor: Safari aç...
2026-01-28 06:16:39 | llm_client | INFO | LLM yanıtı (154 karakter)
2026-01-28 06:16:39 | llm_client | INFO | LLM düşüncesi: Kullanıcı Safari tarayıcısını açmak istiyor...
2026-01-28 06:16:39 | agent | INFO | Tool çalıştırılıyor: open_app - Params: {'app_name': 'Safari'}
2026-01-28 06:16:39 | task_executor | INFO | Executing tool with params: {'app_name': 'Safari'}
2026-01-28 06:16:45 | telegram | INFO | [8433815573] Osman Emre: YouTube aç...
2026-01-28 06:16:45 | agent | INFO | İşleniyor: YouTube aç...
2026-01-28 06:16:45 | llm_client | INFO | LLM'e gönderiliyor: YouTube aç...
